Company,Symbol,Statement,Section,Metric,Year,Value,Unit,Source
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2020,31,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2021,26,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2022,28,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2023,27,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2024,26,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,OPM %,2025,27,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2020,25153,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2021,24482,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2022,30677,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2023,32311,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2024,32516,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Operating Profit,2025,39506,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2020,1637,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2021,3720,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2022,3084,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2023,4221,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2024,3642,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Other Income,2025,4311,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2020,25402,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2021,26298,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2022,31840,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2023,34513,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2024,34092,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Profit before tax,2025,41563,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2020,81809,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2021,94648,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2022,108646,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2023,117966,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2024,123104,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Sales,2025,146463,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2020,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2021,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2022,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2023,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2024,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Profit & Loss,Summary,Tax %,2025,24,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2020,81,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2021,79,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2022,81,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2023,70,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2024,74,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Cash Conversion Cycle,2025,68,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2020,81,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2021,79,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2022,81,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2023,70,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2024,74,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Debtor Days,2025,68,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2020,56,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2021,50,Percentage,Screener.in
