source,text,sentiment
youtube,Bad anchor...which of the fresher wants to join TCS now after media and social media filled with inhuman behaviour of that lady HR grabbing phone from an employee..locking him in the company till police came to release? I doubt anybody would aspire to join such company,-0.3818
youtube,He is telling complete lies,-0.4215
youtube,"He's the biggest lier I ever seen , he speaks lies just to give false hopes to investors , they declared to hire 44000 new fresher for the batch of 2025 but they have not released result for tcs nqt 2025 it has been 5 months since the interview was scheduled. Thousands of students left other job preparation for tcs and now they are all in frustration including me 😔😔",-0.5023
youtube,why still people work for tcs 😂😂😂😂,0.891
youtube,IT companies are the biggest liars when they are asked about the reason of layoff.,-0.5267
youtube,India is rapidly adopting the capitalist model.,0.0
youtube,Tcs bring people to positions not by talent. Mostly years of experience and how much closer to manager,-0.3252
youtube,where would those 600k people go ?,0.0
youtube,Is this guy CEO ?? Are you kidding me ???,0.3313
youtube,He is the reason for layoff. His family should suffer cause due to him so many jobs got destroyed,-0.7717
youtube,"It's not AI effects , but is h1b visa effects.  Each employees annual salary was approx 10 lakhs,  so removing 19755 employees will save 1 thousand 9 hundred and 755 crore rupees where used in h1b visa payments for September 2025 . 😢😢😢 for 2025 around 5,500 h1b visa issued by tcs. Spend 4 thousand 8 hundred 88 crore rupees. So last quarter layoffs not counted. It's clear h1b visa cost layoffs",-0.8985
youtube,Using AI  as disguise for their failed decisions to over hire at corona time. This is clear failure of management. However price paid by employees. And  all this talks media will not hold them for validity of this vision he is showing. TCS should be revamped completely as startup giant and commited hypercloud and AI . First fire top bosses to make place as individual engineers would have capacity to relearn and train than VP and CEO for AI...New engneer should not see future in this company or atleast not plan for more than 2 years in this company going forward. and existing employees should drag them to court for all this chaos created as politically they are fully supported,-0.7925
youtube,Truth is hidden...,0.3182
youtube,"Incompetent CEO, management will also loose their job as they are now mismatched with the new technology.",-0.6597
youtube,Have heard that TSC at senior level get and hire Tamil folks mostly?,0.0
youtube,"TCS in 2020: In 2025 25% of employees will have to work from office at any given point of time🗿

TCS in 2025: 5 days mandatory WFO and thousands of layoffs 💩",0.0772
youtube,He should check his email,0.0
youtube,Saving his Job 😂,0.4404
youtube,fraud,-0.5859
youtube,"Sorry.. But india can never be an IT hub like Silicon Valley or china.. We are truly missing leaders.. I wish the top brass would have taken a salary cut for two years before sacking so many employees .. In a country like india it's like a death penalty.. The entire family of the employees have to face an immensely tough time. .. Was it truly necessary?  U should hv stopped variables, promotions, etc etc but at least keep their job  ..",0.631
youtube,"They have a internal training,which tells not to speak to media",0.0
youtube,"From his looks and body language I can't tell for sure if this guy would be alive and be in the same position to give the next quarterly review.🤣. Even if he does, someone should take the initiative to relieve him of this pain of talking about things they don't believe in and they aren't really doing. Pathetic life.!",0.7148
youtube,"Good to know TCS got a CEO for namesake now. This characterless fellow must set an example by self exit, that would save minumum 30 crores to the company annually.",0.7269
youtube,He is unable to speak ..he needs to build the first basic software skill.,0.0
youtube,"they fired employees
i fired them (sold my tcs stocks)",-0.802
youtube,"Time to leave TCS 

I am working in tcs -mumbai and even after they delay the hike for 6 months they give me ( 7K) total yearly hike in a city like Mumbai 
If you are hustling it's ok but even in Mumbai if you are not able to beat the inflation  you are in the wrong place and wrong city 


They only need a cheap labour arbitrage to make a profit nothing else , no innovation , no proper environment , no training  nothing ......",-0.9047
youtube,he should just retire.. enough of his reign....,0.0
youtube,TCS is the new HCL,0.0
youtube,They r talented,0.5106
youtube,If this is ceo i am a czar of the whole world.  What a joke of a man. No wonder . Hope karma returna,0.4404
youtube,White lies and why no press conference,-0.6124
youtube,This is FALSE ....the ground level situation on TCS company is opposite......forcing employees and mental stress...to.put down.papers ...its now called The Chemnai Services,0.0
youtube,Ratan sir must be feeling ashamed today after seeing this nonsense,-0.6932
youtube,Tamilian consulatncy service,0.0
youtube,Worst ceo,-0.6249
youtube,Shameless lier😂,0.128
youtube,AI .no nothing in TCS.only support project..only ticket creation.ALl worst project.he is simply talking about AI,-0.7475
youtube,He does not deserve the CEO position due to various reasons. Show the exit door before it is too late of damage,-0.4939
youtube,against the CEO,0.0
youtube,"I raise non compliance report, NCR",0.0
youtube,As a auditor experience,0.0
youtube,Offers are not honoured,-0.3875
youtube,Tamil slag english,0.0
youtube,This person single-handedly destroyed Ratan Tata Sir’s legacy.,-0.4939
youtube,Sleepy face,0.0
